Card,Seller,Price,Shipping,URL
"Iron Leaves ex","camille_phillips",0.99,0.85,"https://www.ebay.co.uk/itm/145987411694?_skw=Iron+Leaves+ex+025%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item21fd871eee:g:fWEAAOSwcUFm0EQ1"
"Rapidash","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Rapidash+027%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Torracat","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062444749?_skw=Torracat+033%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead610cd:g:hvEAAOSwoAdl~NyK"
"Incineroar ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405489873404?_skw=Incineroar+ex+034%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5e691471fc:g:bP8AAOSwmrVnjl~p"
"Turtonator","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Turtonator+035%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Sizzlipede","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Sizzlipede+036%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Gouging Fire ex","nite05101989",0.99,0.85,"https://www.ebay.co.uk/itm/326378891903?_skw=Gouging+Fire+ex+038%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bfdb2aa7f:g:L6IAAOSwruhnXXfj"
"Totodile","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326059737801?_skw=Totodile+039%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4beaacc2c9:g:8CQAAOSwi~dl-hfo"
"Croconaw","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Croconaw+040%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Keldeo","myfanwyn123",0.99,0,"https://www.ebay.co.uk/itm/326063279260?_skw=Keldeo+044%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4beae2cc9c:g:Rx8AAOSwGxNl~cy7"
"Snom","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Snom+045%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Frosmoth","myfanwyn123",0.99,0,"https://www.ebay.co.uk/itm/116115591881?_skw=Frosmoth+046%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item1b090752c9:g:01kAAOSwcy5l~cyG"
"Wiglett","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Wiglett+047%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Palafin","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062281834?_skw=Palafin+049%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead3946a:g:~C8AAOSwg8Nl~KxD"
"Walking Wake ex","pokemon-market-uk",0.99,1.65,"https://www.ebay.co.uk/itm/395959189025?_skw=Walking+Wake+ex+050%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5c3101be21:g:FfMAAOSwKDhnTMu9"
"Pikachu","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Pikachu+051%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Electivire","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062264648?_skw=Electivire+054%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead35148:g:Bv0AAOSwYUpl~KYd"
"Wugtrio ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405479591918?_skw=Wugtrio+ex+060%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5e68778fee:g:RuIAAOSwRTVnh98d"
"Iron Hands","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062265090?_skw=Iron+Hands+061%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead35302:g:LJwAAOSwbgdl~KZW"
"Mr. Mime","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Mr.+Mime+063%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Marill","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Marill+064%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
